id,level,name,type,parent_id
nom_2475,3,TSTI - Temperature Steam Time Indicator,Mandatory,ESTE - Sterilization
nom_2476,3,"TUBB - Tuberculosis, Book",Mandatory,L004 - Bacterial Infectious Diseases
nom_2477,3,"TUBB - Tuberculosis, book",Mandatory,L007 - Std - Aids
nom_2478,3,TUBE - Extension tube,Mandatory,PTOO - Tools
nom_2479,3,TUBE - Inner tube,Mandatory,TVEC - Vehicles Consumables
nom_2480,3,TUBE - Measuring tube,Mandatory,CWAT - Water And Sanitation
nom_2481,3,TUBE - Plastic tube,Mandatory,PPAC - Packing And Handling
nom_2482,3,TUBE - Tube,Mandatory,EANE - Anaesthesia
nom_2483,3,"TUBE - Tube, sampling",Mandatory,ELAE - Laboratory Equipment
nom_2484,3,"TUBE - Tube, silicone",Mandatory,"SCTD - Catheters, Tubes And Drains"
nom_2485,3,"TUBG - Tuberculosis, Guide",Mandatory,L004 - Bacterial Infectious Diseases
nom_2486,3,"TUBG - Tuberculosis, guide",Mandatory,L040 - Logistics
nom_2487,3,TUBH - Hematocritis Tube,Mandatory,ELAE - Laboratory Equipment
nom_2488,3,TUBI - Tubing,Mandatory,PELE - Electricity
nom_2489,3,TUBP - Tuberculin Purified,Mandatory,DDGT - Diagnostic tests
nom_2490,3,TUBT - Tube Tracheotomy,Mandatory,"SCTD - Catheters, Tubes And Drains"
nom_2491,3,TUBT - Tuberculose test,Mandatory,DDGT - Diagnostic tests
nom_2492,3,TUCA - Tube Capillary,Mandatory,ELAE - Laboratory Equipment
nom_2493,3,"TUCE - Tube, centrifuge",Mandatory,ELAE - Laboratory Equipment
nom_2494,3,"TUCG - TUBE, carbon",Mandatory,ESUF - Surgical Instruments For External Fixator
nom_2495,3,"TUEC - Connector, Endotracheal Tube",Mandatory,"SCTD - Catheters, Tubes And Drains"
nom_2496,3,"TUED - Endotracheal Tube, Disp.",Mandatory,"SCTD - Catheters, Tubes And Drains"
nom_2497,3,"TUGA - Tube, Gastric",Mandatory,"SCTD - Catheters, Tubes And Drains"
nom_2498,3,"TUGL - Tube, Gastric, Luer",Mandatory,"SCTD - Catheters, Tubes And Drains"
nom_2499,3,"TUGS - Gastric tube, Salem type",Mandatory,"SCTD - Catheters, Tubes And Drains"
nom_2500,3,"TUGS - Tube, glass, srew cap",Mandatory,ELAE - Laboratory Equipment
nom_2501,3,TUHA - Tube haemolysis,Mandatory,ELAE - Laboratory Equipment
nom_2502,3,TUHF - Tuner HF,Mandatory,PCOM - Communication
nom_2503,3,"TULG - TUBE, LENGTHENING/COMPRESSION",Mandatory,ESUF - Surgical Instruments For External Fixator
nom_2504,3,TUMI - Microtube,Mandatory,ELAE - Laboratory Equipment
nom_2505,3,"TUNS - TUNIC, SURGICAL, woven",Mandatory,ELIN - Linen And Protective Clothing
nom_2506,3,TUOX - Oxygen tube,Mandatory,"SCTD - Catheters, Tubes And Drains"
nom_2507,3,TURK - Turck solution,Mandatory,SLAS - Laboratory Reagents
nom_2508,3,"TUSP - Tube, suction, Poole",Mandatory,ESUR - Surgical Instruments
nom_2509,3,TUSU - Suction Tube,Mandatory,"SCTD - Catheters, Tubes And Drains"
nom_2510,3,"TUSY - Tube, Suction, type Yankauer",Mandatory,"SCTD - Catheters, Tubes And Drains"
