"name";"property_account_income_categ.code";"property_account_expense_categ.code";"family_id.complete_name"
"Spare parts Taro";6720;6720;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"SPARE PARTS TOYOTA";6720;6720;"LOG / Transport / SPARE PARTS TOYOTA"
"Spare parts Umm";6720;6720;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Spare parts Volvo";6720;6720;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Spare parts Volkswagen";6720;6720;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Spare parts Yamaha";6720;6720;"LOG / Transport / Spare parts Yamaha"
"Spare parts Peugeot";6720;6720;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"PEUGEOT";6700;6700;"LOG / Transport / PEUGEOT"
"CYCLES & MOTORCYCLES";6700;6700;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"DAF";6700;6700;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Boats";6700;6700;"LOG / Transport / Boats"
"Yamaha";6700;6700;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"IVECO";6700;6700;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"LAND ROVER";6700;6700;"LOG / Transport / LAND ROVER"
"MERCEDES";6700;6700;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Volkswagen";6700;6700;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"RENAULT";6700;6700;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"TARO";6700;6700;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Toyota vehicles";6700;6700;"LOG / Transport / Toyota vehicles"
"HONDA";6700;6700;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Vehicles accessories";6730;6730;"LOG / Transport / Vehicles accessories"
"Vehicles consumables";6730;6730;"LOG / Transport / Vehicles consumables"
"VEHICLES MODIFICATIONS";6730;6730;"LOG / Transport / VEHICLES MODIFICATIONS"
"Taxe";6312;6312;"SERVICE / Services / Taxe"
"Administrative";6570;6570;"SERVICE / Services / Administrative"
"Transport";6570;6570;"SERVICE / Services / Transport"
