name;type;parent_id.complete_name
Box, Wooden;mandatory;LOG/Programm Support/Packing and handling
Card;mandatory;LOG/Programm Support/Packing and handling
Seal;mandatory;LOG/Programm Support/Packing and handling
UN Packing for class 6.2;mandatory;LOG/Programm Support/Packing and handling
Safety and protective equipment;mandatory;LOG/Programm Support
FALL ARRESTER;mandatory;LOG/Programm Support/Safety and protective equipment
FALL STOP;mandatory;LOG/Programm Support/Safety and protective equipment
FIRE BLANKET;mandatory;LOG/Programm Support/Safety and protective equipment
GLOVES;mandatory;LOG/Programm Support/Safety and protective equipment
GOGGLES, PROTECTIVE,;mandatory;LOG/Programm Support/Safety and protective equipment
HARD HAT;mandatory;LOG/Programm Support/Safety and protective equipment
HI VISIBILITY JACKET;mandatory;LOG/Programm Support/Safety and protective equipment
Mask, respiratory protection;mandatory;LOG/Programm Support/Safety and protective equipment
OVERALL;mandatory;LOG/Programm Support/Safety and protective equipment
Tools;mandatory;LOG/Programm Support
Clamp;mandatory;LOG/Programm Support/Tools
Compressor;mandatory;LOG/Programm Support/Tools
MECHANICAL COUPLER;mandatory;LOG/Programm Support/Tools
EXTRACTOR - PULLER;mandatory;LOG/Programm Support/Tools
Grinder;mandatory;LOG/Programm Support/Tools
HAMMER;mandatory;LOG/Programm Support/Tools
Machette;mandatory;LOG/Programm Support/Tools
Mallet;mandatory;LOG/Programm Support/Tools
MEASURING RULE;mandatory;LOG/Programm Support/Tools
METROLOGY TOOLS;mandatory;LOG/Programm Support/Tools
PLIERS;mandatory;LOG/Programm Support/Tools
Pump;mandatory;LOG/Programm Support/Tools
Scraper;mandatory;LOG/Programm Support/Tools
SCREWDRIVERS;mandatory;LOG/Programm Support/Tools
SOCKET;mandatory;LOG/Programm Support/Tools
Soldering;mandatory;LOG/Programm Support/Tools
SPANNER;mandatory;LOG/Programm Support/Tools
OIL FILTER SPANNER;mandatory;LOG/Programm Support/Tools
TOOL BOX OR BAG;mandatory;LOG/Programm Support/Tools
WRENCH;mandatory;LOG/Programm Support/Tools
SPARE PARTS LISTER;mandatory;LOG/Programm Support
Filter;mandatory;LOG/Programm Support/SPARE PARTS LISTER
SPARE PARTS LOMBARDINI;mandatory;LOG/Programm Support
Filter;mandatory;LOG/Programm Support/SPARE PARTS LOMBARDINI
Gasket;mandatory;LOG/Programm Support/SPARE PARTS LOMBARDINI
SPARE PARTS ROBIN;mandatory;LOG/Programm Support
Filter;mandatory;LOG/Programm Support/SPARE PARTS ROBIN
Medical renewable supplies;mandatory;MED
Catheters, tubes and drains;mandatory;MED/Medical renewable supplies
Breathing circuit filter;mandatory;MED/Medical renewable supplies/Catheters, tubes and drains
Cannula, nasal;mandatory;MED/Medical renewable supplies/Catheters, tubes and drains
CATHETER URINARY, Nelaton type;mandatory;MED/Medical renewable supplies/Catheters, tubes and drains
Manual vacuum asp cannula;mandatory;MED/Medical renewable supplies/Catheters, tubes and drains
Peritofix;mandatory;MED/Medical renewable supplies/Catheters, tubes and drains
Alene Needle For Redon Set;mandatory;MED/Medical renewable supplies/Catheters, tubes and drains
Connectors for drain;mandatory;MED/Medical renewable supplies/Catheters, tubes and drains
Drain For Redon;mandatory;MED/Medical renewable supplies/Catheters, tubes and drains
Redon System;mandatory;MED/Medical renewable supplies/Catheters, tubes and drains
Redon system plastic;mandatory;MED/Medical renewable supplies/Catheters, tubes and drains
Tube, silicone;mandatory;MED/Medical renewable supplies/Catheters, tubes and drains
Tube Tracheotomy;mandatory;MED/Medical renewable supplies/Catheters, tubes and drains
Brush fr endotracheal tubes;mandatory;MED/Medical renewable supplies/Catheters, tubes and drains
Endotracheal Tube, Disp.;mandatory;MED/Medical renewable supplies/Catheters, tubes and drains
Tube, Gastric;mandatory;MED/Medical renewable supplies/Catheters, tubes and drains
Gastric tube, Salem type;mandatory;MED/Medical renewable supplies/Catheters, tubes and drains
Dressings;mandatory;MED/Medical renewable supplies
Casting tape, synthetic;mandatory;MED/Medical renewable supplies/Dressings
Bandage, Elastic;mandatory;MED/Medical renewable supplies/Dressings
Specialized food;mandatory;MED/Medical renewable supplies
Biscuits;mandatory;MED/Medical renewable supplies/Specialized food
Corned Beef;mandatory;MED/Medical renewable supplies/Specialized food
Milk, infant;mandatory;MED/Medical renewable supplies/Specialized food
Ready to use supplementary food;mandatory;MED/Medical renewable supplies/Specialized food
Ready to use therapeutic food;mandatory;MED/Medical renewable supplies/Specialized food
Injection supplies;mandatory;MED/Medical renewable supplies
Blood Taking Bag;mandatory;MED/Medical renewable supplies/Injection supplies
Container;mandatory;MED/Medical renewable supplies/Injection supplies
Catheter with injection port;mandatory;MED/Medical renewable supplies/Injection supplies
I.V. Placement Unit;mandatory;MED/Medical renewable supplies/Injection supplies
Intra-osseaous needle;mandatory;MED/Medical renewable supplies/Injection supplies
Laboratory reagents;mandatory;MED/Medical renewable supplies
Buffer Ph=7;mandatory;MED/Medical renewable supplies/Laboratory reagents
Dynabeads;mandatory;MED/Medical renewable supplies/Laboratory reagents
Giemsa;mandatory;MED/Medical renewable supplies/Laboratory reagents
Ral Fixator;mandatory;MED/Medical renewable supplies/Laboratory reagents
Ral 555, Eosine;mandatory;MED/Medical renewable supplies/Laboratory reagents
Ral 555, Kit;mandatory;MED/Medical renewable supplies/Laboratory reagents
